animeTitle	Landlock
animeType	OVA
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	5.52
animeUsers	873
animeRank	
animePopularity	9422
animeDescription	"The land of Zer’lue is in turmoil, ravaged by the technological might of Chairman Sana'ku and his evil, militaristic Zul’earth forces. In a rapidly unfolding story of treachery, deceit and betrayal, only one boy holds the power to defeat such overwhelming odds... a boy named Lue'der, who possesses a mysterious red eye and the ability to control the power of the wind itself. With the fate of the world at stake, Lue'der must learn to unlock his legendary power and battle against the evil which threatens to engulf his planet.

(Source: ANN)"
animeRelated	[]
animeCharacters	['Ansa', 'Agahari', 'Ruda', 'Bork', 'Zanak', 'Nosaku']
animeVoices	['Amano, Yuri', 'Ogata, Megumi', 'Kashiwakura, Tsutomu', 'Cho', 'Gouri, Daisuke', 'Shimada, Bin']
animeStaff	[['Shirow, Masamune', 'Original Character Design'], ['Nakazawa, Kazuto', 'Animation Director, Character Design'], ['Matsuo, Hayato', 'Music'], ['Waki, Takeshi', 'Art Director']]
