animeTitle	Shusaku
animeType	OVA
animeNumEpisode	3
releaseDate	1999-02-26 00:00:00
endDate	1999-11-05 00:00:00
animeNumMembers	2462
animeScore	5.62
animeUsers	866
animeRank	
animePopularity	8891
animeDescription	"In the girls dormitory of Shukusei Music Academy are the famous daughters of good families. In the middle of the night, the girl's screams echo in the silent academy. Kaori is tied up and at that moment she becomes baptized into disgrace. There is a man whose name is Kato Shusaku who looks down at her with a fiendish grin as she cries in misery... 

(Source: ANN)"
animeRelated	['Shusaku Replay', 'Kisaku', 'Kisaku Spirit', 'Isaku']
animeCharacters	['Shusaku, Itou']
animeVoices	['Tsuji, Shinpachi']
animeStaff	[['ELF Corporation', 'Original Creator'], ['Iijima, Hiroya', 'Animation Director, Character Design']]
