animeTitle	b'Tomodachi de Iyou ne'
animeType	b'TV'
animeNumEpisode	26
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	
animeDescription	"b""Short children's anime depicting Neko-kun, Nyaago, Usagi-kun, Kuma-kun, and other forest animals in their daily lives. It originally aired as a part of the early morning children's program Hirake! Ponkikki before the anime was combined and released on VHS."""
animeRelated	[b'Nemurenu Yoru no Chiisana Ohanashi']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
