animeTitle	b'Zetsumetsu Kigu-shun.'
animeType	b'ONA'
animeNumEpisode	13
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	
animeDescription	"b'A dialogue-less anime about endangered species where they only say ""-shun."". Episodes are streamed on the anime\'s official Youtube channel and Twitter, and Kadokawa\'s official Youtube channel as they are co-creators of the brand.\n'"
animeRelated	[b'Zetsumetsu Kigu-shun. (2020)']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
