animeTitle	Shakkin Shimai
animeType	OVA
animeNumEpisode	2
releaseDate	2007-10-25 00:00:00
endDate	2008-03-25 00:00:00
animeNumMembers	
animeScore	6.04
animeUsers	1193
animeRank	
animePopularity	7688
animeDescription	Kaho and Kasumi are sisters indebted to the yakuza.  A student learns of their predicament and decides to pay off their debt for a certain price; they must become his sex slaves until he sees that their debt is clear.
animeRelated	['Shakkin Shimai']
animeCharacters	['Miyamori, Kaho', 'Miyamori, Kasumi', 'Okura']
animeVoices	['Ishimatsu, Chiemi', 'Inokuchi, Yuka']
animeStaff	[['Selen', 'Original Creator'], ['Okuma, Masami', 'Original Character Design']]
