animeTitle	Yuusha Keisatsu J-Decker
animeType	TV
animeNumEpisode	48
releaseDate	
endDate	
animeNumMembers	
animeScore	7.31
animeUsers	682
animeRank	
animePopularity	8531
animeDescription	"Grade schooler Yuuta Tomonaga stumbles upon Deckerd, a humanoid robot under construction by the Japanese police, built to fight advanced forms of crime. Yuuta's constant contact with Deckerd gives the robot a ""heart,"" or personality; when Yuuta is recruited as the ""boss"" of the ""Brave Police"" as a result, a true human/robot partnership occurs.

(Source: Wikipedia)"
animeRelated	['Yuusha-Ou GaoGaiGar', 'Densetsu no Yuusha Da Garn', 'Yuusha Exkaiser', 'Yuusha Tokkyuu Might Gaine', 'Yuusha Shirei Dagwon', 'Taiyou no Yuusha Fighbird', 'Ougon Yuusha Goldran']
animeCharacters	['Deckerd', 'Tomonaga, Yuta', 'Gunmax', 'Drillboy', 'Argine, Regina', 'Duke']
animeVoices	['Furusawa, Tohru', 'Ishikawa, Hiromi', 'Makishima, Naoki', 'Morikawa, Toshiyuki']
animeStaff	[['Takamatsu, Shinji', 'Director, Episode Director'], ['Minami, Yasuhiro', 'Episode Director, Storyboard'], ['Yamada, Yasunori', 'Script'], ['Kawasaki, Hiroyuki', 'Script']]
