animeTitle	Domo TV
animeType	TV
animeNumEpisode	26
releaseDate	2008-01-01 00:00:00
endDate	
animeNumMembers	
animeScore	6.26
animeUsers	621
animeRank	
animePopularity	10377
animeDescription	A co-production between Nickelodeon and NHK featuring the stop-motion character Domo-kun, aired both in the US and Japan.
animeRelated	['Domo-kun']
animeCharacters	['Domo-kun', 'Usajii']
animeVoices	[]
animeStaff	[['Gouda, Tsuneo', 'Director, Animation Director, Creator, Character Design']]
