animeTitle	Jungle wa Itsumo Hare nochi Guu Final
animeType	OVA
animeNumEpisode	7
releaseDate	2003-12-21 00:00:00
endDate	2004-06-25 00:00:00
animeNumMembers	
animeScore	7.64
animeUsers	5118
animeRank	
animePopularity	5429
animeDescription	"Haré's family receives a video letter from Weda's home in the city. Witnessing how sad and lonely Weda's mother and Bel are without her, Weda decides to take Haré and Guu back to the city for a while. After Haré complains about being bored and lonely without his friends in the jungle (as part of his plot to persuade his mother to take him back), Weda decides to send him to a private school in the city, where he instanly falls in love with a pretty girl named Rita. But, of course, Guu wants part of the action too.

(Source: ANN)"
animeRelated	['Jungle wa Itsumo Hare nochi Guu Deluxe']
animeCharacters	['Guu', 'Haré', 'Weda', 'Clive', 'Asio', 'Mari', 'Chourou', 'Robert', 'Reiji', 'Bel']
animeVoices	['Watanabe, Naoko', 'Aikawa, Rikako', 'Morota, Kaoru', 'Madono, Mitsuaki', 'Morikubo, Shoutarou', 'Yokoo, Mari']
animeStaff	[['Mizushima, Tsutomu', 'Director'], ['Yamamoto, Yutaka', 'Episode Director, Storyboard'], ['Yokote, Michiko', 'Script, Series Composition'], ['Shigino, Akira', 'Storyboard']]
