animeTitle	Uchuu no Senshi
animeType	OVA
animeNumEpisode	6
releaseDate	
endDate	
animeNumMembers	
animeScore	6.19
animeUsers	1797
animeRank	
animePopularity	6931
animeDescription	"Johnny Rico is a high school student living in Buenos Aires, who doesn't know what to do with his future life. When his friend Carl and his love Carmen, whom he grew up with, join the Federal Military, he does too enlist in the hope to chase after his love into space. However, a war is brewing on the outer planets with a strange bug-like alien enemy and Johnny is thrust into conflict.

(Source: AniDB)"
animeRelated	['Starship Troopers: Invasion']
animeCharacters	['Rico, Juan', 'Zim, Sgt.', 'Ibanez, Carmencita']
animeVoices	['Matsumoto, Yasunori', 'Kamiya, Akira', 'Sakuma, Rei']
animeStaff	[['Amino, Tetsuro', 'Director'], ['Inui, Hiroki', 'Theme Song Arrangement'], ['Ikeda, Shigemi', 'Art Director'], ['Honda, Yasunori', 'Sound Effects']]
