animeTitle	Double Circle
animeType	ONA
animeNumEpisode	6
releaseDate	2013-12-19 00:00:00
endDate	2014-09-26 00:00:00
animeNumMembers	
animeScore	4.88
animeUsers	1498
animeRank	
animePopularity	6783
animeDescription	"""Double Circle"" means the community which evolves infinitely by the energy and ICT in the smart community project.
People who live in Kawasaki become a hero, and beat an enemy who steals near from the time-stopped world to the evolving town Kawasaki.

(Source: Official website)"
animeRelated	[]
animeCharacters	['Nanoha', 'Akane', 'Azuma no Shibanu Tamamushi-hime', 'Emu', 'Asagi']
animeVoices	['Saitou, Chiwa', 'Seto, Asami', 'Horie, Yui', 'Namikawa, Daisuke', 'Okamoto, Nobuhiko']
animeStaff	[['Kinako', 'Original Character Design']]
