animeTitle	b'Comic Party'
animeType	b'TV'
animeNumEpisode	13
releaseDate	
endDate	
animeNumMembers	
animeScore	6.58
animeUsers	7007
animeRank	
animePopularity	
animeDescription	"b""Destiny or delusion? It's a hilarious rollercoaster of laughter and confusion when Taishi, the ultimate otaku, drags his friend Kazuki into the swirling world of ambition, hatred, and love\xe2\x80\x94the world of fan comics! Poor clueless Kazuki must sink or swim when he's dumped straight into the middle of a massive comic convention. Lost amidst hoards of buyers, sellers, and cosplayers, Kazuki is about to be baptized by fire, all in order to lead him toward his true calling: to take over the world through fan comics!\n\nMeanwhile, Kazuki's childhood friend Mizuki isn't about to let him be dragged from his normal life without a fight! But will she be able to stop the addictive draw of the new world that lies before Kazuki? Little by little, Kazuki is slipping down the path towards destiny\xe2\x80\x94and Taishi is shoving him every step of the way! \n\n(Source: RightStuf)"""
animeRelated	[b'Comic Party', b'To Heart', b'Comic Party Revolution', b'Comic Party Revolution OVA', b'Comic Party Specials']
animeCharacters	[b'Takase, Mizuki', b'Sendou, Kazuki', b'HMX-12, Multi', b'Kuhonbutsu, Taishi', b'Inagawa, Yuu', b'Hasebe, Aya', b'Haga, Reiko', b'Tsukamoto, Chisa', b'Ooba, Eimi', b'Tachikawa, Ikumi']
animeVoices	[b'\nSayama, Riko\nJapanese\n', b'\nKikuchi, Masami\nJapanese\n', b'\nToochika, Kouichi\nJapanese\n', b'\nMorota, Kaoru\nJapanese\n', b'\nSonozaki, Mie\nJapanese\n', b'\nMuta, Akiko\nJapanese\n', b'\nBaba, Sumie\nJapanese\n', b'\nIshikawa, Shizuka\nJapanese\n', b'\nKoyama, Kimiko\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nWatanabe, Jun\n\nSound Director\n\n', b'\nYokote, Michiko\n\nScript\n\n', b'\nSatou, Yuuzou\n\nStoryboard\n\n', b'\nTakahashi, Takeo\n\nKey Animation\n\n']
