animeTitle	Ever Green Never End
animeType	Music
animeNumEpisode	1
releaseDate	2019-05-08 00:00:00
endDate	
animeNumMembers	
animeScore	5.72
animeUsers	346
animeRank	
animePopularity	12417
animeDescription	Official music video for the song Ever Green Never End by the fictional band Irodorimidori. It is the 40th song in the franchise and focuses on Shirona Tsukisuzu.
animeRelated	['Sayonara Freeway', 'Issei Kiyuukyoku: Divertimento']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
