animeTitle	Manga Naruhodo Monogatari
animeType	TV
animeNumEpisode	102
releaseDate	1986-04-05 00:00:00
endDate	1988-03-26 00:00:00
animeNumMembers	285
animeScore	
animeUsers	
animeRank	17191
animePopularity	14759
animeDescription	"No synopsis has been added for this series yet.

Click here to update this information."
animeRelated	['Manga Doushite Monogatari', 'Manga Naruhodo Monogatari OVA', 'Shin Manga Naruhodo Monogatari']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
