animeTitle	b'Kengan Ashura'
animeType	b'ONA'
animeNumEpisode	12
releaseDate	
endDate	
animeNumMembers	
animeScore	7.45
animeUsers	53273
animeRank	
animePopularity	
animeDescription	"b'Business deals are usually made through meetings and contracts; but in the world of Kengan Ashura, businesses resort to other means to make their decisions: by hiring gladiators. Yabako Sandrovich\'s Kengan Ashura depicts a world brimming with action, violence, and martial arts\xe2\x80\x94one where powerful gladiators have fought in grand arenas since the Edo Period to settle the disputes of wealthy businesses and merchants.\n\nOuma Tokita, who is nicknamed ""The Ashura,"" is a fighter trying to prove himself as the strongest. Hideki Nogi, a member of the Nogi Group, hires Ouma to fight for him and makes Kazuo Yamashita, an average middle-aged man, his manager. The duo is thrown into fights facilitated by the Kengan Association. Their journey will be full of ruthless battles with other fighters aiming for the same goal. Do they have what it takes to be the best?\n\n[Written by MAL Rewrite]'"
animeRelated	[b'Kengan Ashura', b'Kengan Ashura 2nd Season']
animeCharacters	[b'Tokita, Ouma', b'Yamashita, Kazuo', b'Kure, Karla', b'Wongsawat, Gaolang', b'Imai, Cosmo', b'Sekibayashi, Jun', b'Kanou, Agito', b'Hanafusa, Hajime', b'Kure, Raian', b'Gensai, Kuroki']
animeVoices	[b'\nSuzuki, Tatsuhisa\nJapanese\n', b'\nCho\nJapanese\n', b'\nKurosawa, Tomoyo\nJapanese\n', b'\nTsuda, Kenjirou\nJapanese\n', b'\nEnoki, Junya\nJapanese\n', b'\nInada, Tetsu\nJapanese\n', b'\nOotsuka, Akio\nJapanese\n', b'\nIshida, Akira\nJapanese\n', b'\nMatsuoka, Yoshitsugu\nJapanese\n', b'\nGenda, Tesshou\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nKishi, Seiji\n\nDirector\n\n', b'\nMajima, Takahiro\n\nEpisode Director\n\n', b'\nSong, Hyon-De\n\nEpisode Director\n\n', b'\nMY FIRST STORY\n\nTheme Song Performance\n\n']
