animeTitle	1-gatsu ni wa Christmas
animeType	OVA
animeNumEpisode	1
releaseDate	1991-11-21 00:00:00
endDate	
animeNumMembers	
animeScore	5.38
animeUsers	424
animeRank	
animePopularity	10846
animeDescription	"Nobumasa is a boy who works part-time in a shoe store, where he meets Mizuki, a girl whose abusive family life has left her unable to trust other people. Meanwhile, Nobumasa is unaware that another girl, Seiko, has a crush on him but is unable to express her feelings.

(Source: The Anime Encyclopedia)"
animeRelated	[]
animeCharacters	['Fujioka, Junsho', 'Mizuki', 'Kashiwagi, Seiko']
animeVoices	['Koyasu, Takehito', 'Hayashibara, Megumi', 'Hidaka, Noriko']
animeStaff	[['Dezaki, Satoshi', 'Director'], ['Wakabayashi, Atsushi', 'Key Animation'], ['Iwadate, Mariko', 'Original Creator']]
