animeTitle	Penguin no Mondai
animeType	TV
animeNumEpisode	100
releaseDate	
endDate	
animeNumMembers	
animeScore	5.83
animeUsers	148
animeRank	
animePopularity	12107
animeDescription	About the daily lives of a boy and his talking penguin.
animeRelated	['Penguin no Mondai Movie', 'Penguin no Mondai Max']
animeCharacters	['Kinoshita, Bekkamu']
animeVoices	['Itou, Miyako']
animeStaff	[['Kamiya, Jun', 'Director, Script, Storyboard'], ['Watanabe, Jun', 'Sound Director'], ['Arakawa, Naruhisa', 'Script'], ['Enomoto, Akihiro', 'Storyboard']]
