animeTitle	Guin Saga
animeType	TV
animeNumEpisode	26
releaseDate	2009-04-05 00:00:00
endDate	2009-09-27 00:00:00
animeNumMembers	
animeScore	7.19
animeUsers	13106
animeRank	
animePopularity	2800
animeDescription	"The ancient kingdom of Parros has been invaded by the armies of Mongaul, and its king and queen have been slain. But the ""twin pearls of Parros,"" the princess Rinda and the prince Remus, escape using a strange device hidden in the palace. Lost in Roodwood, they are rescued from Mongaul soldiers by a strange leopard-headed man, who has no memories except for the words ""Aurra"" and ""Guin,"" which he believes to be his name.

(Source: ANN)"
animeRelated	['Guin Saga']
animeCharacters	['Guin', 'István', 'Aldo, Naris', 'Aldoros, Remus Al Jeinus', 'Jeina, Rinda Arudia', 'Amnelis', 'Sala', 'Li Fa', 'Ran', 'Lussia']
animeVoices	['Horiuchi, Kenyuu', 'Asanuma, Shintaro', 'Uchida, Yuuya', 'Yonaga, Tsubasa', 'Nakahara, Mai', 'Watanabe, Akeno', 'Watanabe, Misa', 'Satou, Satomi', 'Sakurai, Takahiro', 'Itou, Kanae']
animeStaff	[['Wakabayashi, Atsushi', 'Director, Episode Director, Storyboard'], ['Aketagawa, Susumu', 'Sound Director'], ['Hanyuu, Naoyasu', 'Episode Director'], ['Umemoto, Yui', 'Episode Director']]
