animeTitle	Issho ni Training: Training with Hinako
animeType	OVA
animeNumEpisode	1
releaseDate	2009-04-24 00:00:00
endDate	
animeNumMembers	
animeScore	4.74
animeUsers	9544
animeRank	
animePopularity	4082
animeDescription	"""First muscle training animation ever,"" a 16-year-old girl named Hinako leads exercises in push-ups, sit-ups, and squats. Hinako was once a human, but she was turned into an anime character when she was a second-year middle-school student. 

(Source: ANN)"
animeRelated	['Issho ni Sleeping: Sleeping with Hinako', 'Issho ni Training Ofuro: Bathtime with Hinako & Hiyoko']
animeCharacters	['Hinako']
animeVoices	['Kadowaki, Mai']
animeStaff	[['Nakagawa, Muneshige', 'Producer, Script, Planning'], ['Suzuki, Iku', 'Director'], ['Hashi, Katsuhiro', 'Art Director'], ['Amisaki, Ryouko', 'Character Design, Animation Director']]
