animeTitle	Daisuki! Hello Kitty
animeType	TV
animeNumEpisode	26
releaseDate	1993-10-05 00:00:00
endDate	1994-03-29 00:00:00
animeNumMembers	
animeScore	6.28
animeUsers	901
animeRank	
animePopularity	8954
animeDescription	The adventures of a young kitten named Kitty with her twin sister Mimi. It's a variety of adventures, including Kitty in some fairy tales as well.
animeRelated	[]
animeCharacters	['White, Kitty', 'White, Mimmy']
animeVoices	['Hayashibara, Megumi']
animeStaff	[]
