animeTitle	b'Saikyou Bushouden: Sangoku Engi'
animeType	b'TV'
animeNumEpisode	52
releaseDate	
endDate	
animeNumMembers	
animeScore	6.78
animeUsers	272
animeRank	
animePopularity	
animeDescription	"b'Chinese-Japanese anime adaptation of the ""Romance of the Three Kingdoms"" classic novel.\n\nLui Bei embarks on a journey to quell the chaos that plagues his homeland, bringing with him his sworn brothers, Zhang Fei and Guan Yu. With only a small army and no land Lui Bei is forced to take a subservient role to other Generals, in order to keep him safe from those who continually come after his life.'"
animeRelated	[]
animeCharacters	[b'Yu, Guan']
animeVoices	[]
animeStaff	"[b'\n\n\n\n\n\n', b""\nMay'n\n\nTheme Song Performance\n\n"", b'\nSasaki, Isao\n\nTheme Song Performance\n\n']"
