animeTitle	b'Luv Wave'
animeType	b'OVA'
animeNumEpisode	3
releaseDate	
endDate	
animeNumMembers	
animeScore	5.88
animeUsers	915
animeRank	
animePopularity	
animeDescription	"b""Takikawa Kanako, a secret agent that specialize in information and assassination. He has a robot girl for assistant. So far, they have 100% success rate, but their new target doesn't seem to want to stay dead. While finding out what's going on, they have to deal with a world network stopping virus and a strange new drug. Can he remember and how much does she love him?\n\n(Source: AnimeNfo)"""
animeRelated	[]
animeCharacters	[b'Alice', b'Mikogami, Kaoru', b'Diorg, Wezmar', b'Mikogami, Mamoru', b'Takikawa, Kanako', b'Spector, Massy']
animeVoices	[]
animeStaff	[b'\n\n\n\n\n\n', b'\nTakahashi, Takeo\n\nKey Animation\n\n', b'\nIijima, Hiroya\n\nAnimation Director, Character Design\n\n', b'\nSatou, Michio\n\nKey Animation\n\n']
