animeTitle	Toumei Ningen (OVA)
animeType	OVA
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	6.58
animeUsers	3759
animeRank	
animePopularity	5688
animeDescription	"Mie happened to pick up medicine that an old man dropped. When he took the medicine, his figure disappeared. Soon he went to a public bath to peep, and began to molest. Then, he went to an all-girls school.

(Source: AnimeNfo)"
animeRelated	['Toumei Ningen R']
animeCharacters	['Mie', 'Suzu', 'Fujisawa', 'Otonashi ']
animeVoices	[]
animeStaff	[]
