animeTitle	Hei Mao Jing Zhang
animeType	TV
animeNumEpisode	5
releaseDate	1984-01-01 00:00:00
endDate	1984-12-01 00:00:00
animeNumMembers	
animeScore	5.55
animeUsers	167
animeRank	
animePopularity	13142
animeDescription	The series follows Officer Black Cat's adventures around the forest neighbourhood, apprehending criminals, dealing justice, and solving crimes.
animeRelated	['Hei Mao Jing Zhang (1992)', 'Hei Mao Jing Zhan Zhi Fei Cui Zhi Xing']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
