animeTitle	Rejuvenation
animeType	OVA
animeNumEpisode	2
releaseDate	2000-01-28 00:00:00
endDate	2000-02-25 00:00:00
animeNumMembers	1429
animeScore	5.38
animeUsers	445
animeRank	
animePopularity	10277
animeDescription	A carnal cult uses illicit drugs to transform men into sex-crazed monsters. Police partners and lesbian lovers Atsuko and Kei are investigating a shady drug deal when they stumble upon the shocking truth. Can our frisky friends interrupt their love-play long enough to cuff the criminals?
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
