animeTitle	Mini Van
animeType	TV
animeNumEpisode	37
releaseDate	2013-04-06 00:00:00
endDate	2013-12-28 00:00:00
animeNumMembers	
animeScore	6.84
animeUsers	657
animeRank	
animePopularity	9687
animeDescription	An animated flash series of the manga Mini Vanguard.
animeRelated	['Mini Van', 'Cardfight!! Vanguard', 'Mini Van Large', 'Mini Van Special', 'Mini Van 2nd Season']
animeCharacters	['Sendou, Aichi', 'Kai, Toshiki', 'Tokura, Misaki', 'Katsuragi, Kamui', 'Suzugamori, Ren', 'Miwa, Taishi', 'Tatsunagi, Kourin', 'Sendou, Emi', 'Morikawa, Katsumi', 'Nitta, Shin']
animeVoices	['Yonaga, Tsubasa', 'Satou, Takuya', 'Kitta, Izumi', 'Ishikawa, Shizuka', 'Abe, Atsushi', 'Morikubo, Shoutarou', 'Enomoto, Atsuko', 'Sugiyama, Noriaki', 'Morishima, Shuuta']
animeStaff	[['Tani, Azuma', 'Director'], ['Fujitsuka', 'Key Animation']]
