animeTitle	Alice in Deadly School
animeType	OVA
animeNumEpisode	1
releaseDate	2021-01-04 00:00:00
endDate	2021-03-03 00:00:00
animeNumMembers	17306
animeScore	5.26
animeUsers	2945
animeRank	10981
animePopularity	4269
animeDescription	"The story begins with the peaceful daily life of schoolgirls—which suddenly breaks down when former schoolmates become zombies. The story follows the actions taken by the girls left behind on the school roof.

(Source: ANN)

A short special edit of the OVA, titled Alice in Deadly School Tokubetsu-ban: Ima, Stage no Maku ga Agaru (Alice in Deadly School Special Edit -The Stage Begins-), was broadcasted on January 4, 2021 as part of the New Year's special."
animeRelated	['Alice in Deadly School', 'Gekidol: Actidol Project']
animeCharacters	['Sumio, Yuu', 'Momomura, Nobuko', 'Kaihara, Imei', 'Ouichi, Megumi', 'Igari, Kaoru', 'Shigemoto, Yukifumi', 'Akamori, Asayo', 'Hikyou, Iori', 'Tounuma, Kiriko', 'Akashima, Yumiya']
animeVoices	['Ichimichi, Mao', 'Mochida, Chihira', 'Mizuhashi, Kaori', 'Ogasawara, Saki', 'Yashima, Sarara', 'Suzuno, Rei', 'Satou, Amina', 'Akiyoshi, Aya', 'Suwa, Ayaka', 'Yamamoto, Nozomi']
animeStaff	[['Nagai, Masaru', 'Producer, Planning'], ['Yamauchi, Shigeyasu', 'Director'], ['Kageyama, Yumi', 'Script'], ['Sekiya, Asami', 'Original Character Design']]
