animeTitle	Peter Pan no Bouken
animeType	TV
animeNumEpisode	41
releaseDate	1989-01-15 00:00:00
endDate	1989-12-24 00:00:00
animeNumMembers	3869
animeScore	6.81
animeUsers	1636
animeRank	4561
animePopularity	7720
animeDescription	"Wendy and her two little brothers are brought to the land of adventures, Neverland, by Peter pan, a boy who will never grow up. In Neverland they encounter exciting events and meet with little fairies, mermaids, Indians, and pirates. Required to act as a mother, Wendy never has a moments peace with all that is happening around her, including breath-taking fights with pirates. Later in the series, they set off to find a buried treasure with a map that they obtain from the pirates.

(Source: AnimeNfo)"
animeRelated	['Araiguma Rascal', 'Peter Pan no Bouken Specials']
animeCharacters	['Pan, Peter', 'Darling, Wendy Moira Angela', 'Smee', 'Tootles', 'Bill', 'Cecco', 'Tinker Bell']
animeVoices	['Hidaka, Noriko', 'Matsui, Naoko', 'Ogata, Kenichi', 'Ikura, Kazue', 'Gouri, Daisuke', 'Yamadera, Kouichi', 'Shimamoto, Sumi']
animeStaff	[['Kuroda, Yoshio', 'Director'], ['Shimada, Michiru', 'Script'], ['Shimada, Shimada', 'Script'], ['Kusuba, Kouzou', 'Storyboard']]
