animeTitle	b'Kanabun no Koushin'
animeType	b'ONA'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	5.18
animeUsers	109
animeRank	
animePopularity	
animeDescription	"b'A bizarre early work by Saigo no Shudan. They used children\'s toy instruments to create the kitschy soundtrack. ""Kanabun"" is the Japanese colloquial name for a drone beetle (Pseudotorynorrhina japonica) which is in the scarab family.'"
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
