animeTitle	Inui-san!
animeType	OVA
animeNumEpisode	5
releaseDate	2014-07-03 00:00:00
endDate	2015-12-01 00:00:00
animeNumMembers	296
animeScore	
animeUsers	
animeRank	16314
animePopularity	14620
animeDescription	"Included in the Ciao Ciao TV bonus DVD that bundled with the  issues of the Ciao magazine.

(Source: AniDB)"
animeRelated	['Inui-san!']
animeCharacters	['Usagi, Rurumi', 'Inui', 'Hitsuji, Koutarou']
animeVoices	['Suzaki, Aya', 'Enoue, Keiko', 'Amasaki, Kouhei']
animeStaff	[]
