animeTitle	Toki no Kousa
animeType	Special
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	5.9
animeUsers	502
animeRank	
animePopularity	10298
animeDescription	"A four-dimensional short anime will start at the very beginning of Shibuya Crossing, that is, 10,000 years in the past.

The anime is part of a collaborative project helmed by Yoshitoshi Shinomiya. It features a hybrid of animation and live-action. The short was screened on Shibuya's Crossing screens and a YouTube-friendly version was posted as well.

(Source: ANN)"
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
