animeTitle	Kuroko no Basket: Baka ja Katenai no yo!
animeType	OVA
animeNumEpisode	1
releaseDate	2013-12-04 00:00:00
endDate	
animeNumMembers	46600
animeScore	7.56
animeUsers	24146
animeRank	1432
animePopularity	2595
animeDescription	"Bundled with the 25th volume of Kuroko no Basket manga. The anime based on the Baka Ja Katenai no yo (バカじゃ勝てないのよ) story that was featured in the manga's fifth volume.

(Source: ANN)"
animeRelated	['Kuroko no Basket']
animeCharacters	['Kuroko, Tetsuya', 'Kagami, Taiga', 'Kise, Ryouta', 'Midorima, Shintarou', 'Takao, Kazunari', 'Hyuuga, Junpei', 'Aida, Riko', 'Izuki, Shun', 'Mitobe, Rinnosuke', 'Koganei, Shinji']
animeVoices	['Ono, Kensho', 'Ono, Yuuki', 'Kimura, Ryouhei', 'Ono, Daisuke', 'Suzuki, Tatsuhisa', 'Hosoya, Yoshimasa', 'Saitou, Chiwa', 'Nojima, Hirofumi', 'Eguchi, Takuya']
animeStaff	[['Morihiro, Fumi', 'Producer'], ['Kuroki, Rui', 'Producer'], ['GRANRODEO', 'Theme Song Performance, Theme Song Lyrics, Theme Song Composition, Theme Song Arrangement'], ['Fujimaki, Tadatoshi', 'Original Creator']]
