animeTitle	Medamayaki no Kimi Itsu Tsubusu?
animeType	Special
animeNumEpisode	4
releaseDate	2014-08-05 00:00:00
endDate	2014-08-08 00:00:00
animeNumMembers	
animeScore	6.02
animeUsers	207
animeRank	
animePopularity	11085
animeDescription	"Based on the same name gourmet manga that focuses on the dining of cuisine. The protagonist Jirou Tamiyamaru is more obssessed with how to eat than most people, and the anime comically depicts how he agonizes over the differences with how others eat.

(Source: ANN)"
animeRelated	['Medamayaki no Kimi Itsu Tsubusu?']
animeCharacters	['Mifuyu', 'Tamiyamaru, Jirou', 'Kondou, Son', 'Aki', 'Yasuo', 'Oonuki', 'Kondou, Wife', 'Everett', 'Chinatsu', 'Kondou, Yuuzou']
animeVoices	['Shiraishi, Ryouko', 'Fukuhara, Kouhei', 'Nagaku, Yuki', 'CR Okamoto, Monogatari', 'Arai, Souta', 'Ryu, Seira', 'Matsubara, Daisuke']
animeStaff	[['Rareko', 'Director, Script, Theme Song Composition, Music'], ['Oohinata, Gou', 'Theme Song Lyrics, Theme Song Performance, Original Creator']]
