animeTitle	Chikasugi Idol Akae-chan
animeType	TV
animeNumEpisode	12
releaseDate	2014-01-07 00:00:00
endDate	2014-04-01 00:00:00
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	14415
animeDescription	"Based on the upcoming ""Underground Princess"" idol role playing game for mobile devices."
animeRelated	['Chikasugi Idol Akae-chan Specials']
animeCharacters	['Midorikawa, Peperonpoppupoponchu', 'Momo', 'Kikko', 'Aomi', 'Akae', 'Uta, Utako', 'Germana']
animeVoices	['Kubo, Yurika', 'Yamamura, Hibiku', 'Fuchigami, Mai', 'Akesaka, Satomi', 'Watanabe, Yui', 'Kouno, Marika', 'Takahashi, Shinya']
animeStaff	[['Sugiura, Pierre', 'Script, Series Composition'], ['Nonomura, Yukiko', 'Script, Series Composition'], ['Ichikawa, Gigaemon', 'Script, Series Composition'], ['Sakuta, Hazumu', 'Chief Animation Director']]
