animeTitle	The iDOLM@STER SideM: Wake Atte Mini! - Shoshi Kantetsu Daisouji!
animeType	OVA
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	11263
animeDescription	"Unaired episode bundled with the special edition of The  iDOLM@STER SideM Wake Atte Mini! Returns manga.

315 Production clerk Ken Yamamura was organizing the costumes of the idols in the office. Shinsoku Ikkon and Legenders also went there and helped organize the costumes while feeling nostalgic for the past."
animeRelated	['The iDOLM@STER SideM: Wake Atte Mini!']
animeCharacters	['Koron, Chris', 'Kitamura, Sora', 'Kuzunoha, Amehiko', 'Kurono, Genbu', 'Akai, Suzaku', 'Saitou, Takashi', 'Yamamura, Ken']
animeVoices	['Komada, Wataru', 'Shioya, Fumiyoshi', 'Kasama, Jun', 'Fukamachi, Toshinari', 'Masuyama, Takeaki', 'Tachiki, Fumihiko', 'Kawanishi, Kengo']
animeStaff	[]
