animeTitle	Kara no Tamago
animeType	Movie
animeNumEpisode	1
releaseDate	2012-01-01 00:00:00
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	17678
animeDescription	The film is about a family, [that] runs a chicken farm. The boy hankers after birds and his little sister keeps an eye on him. The father loves eggs. The mother loves somebody else. In the family fixture, each member stays there with bias or secrets.
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
