animeTitle	Norn9: Norn+Nonet Recap
animeType	Special
animeNumEpisode	1
releaseDate	2016-03-10 00:00:00
endDate	
animeNumMembers	5528
animeScore	6.15
animeUsers	2082
animeRank	7898
animePopularity	6736
animeDescription	Recap of episodes 1-9 of Norn9: Norn+Nonet.
animeRelated	['Norn9: Norn+Nonet']
animeCharacters	['Yuiga, Kakeru', 'Ichinose, Senri', 'Shukuri, Akito']
animeVoices	[]
animeStaff	[['Yanagi, Nagi', 'Theme Song Performance'], ['Oda, Kaori', 'Theme Song Performance']]
