animeTitle	Zukkoke Sannin-gumi: Zukkoke Jikuu Bouken
animeType	OVA
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	15070
animeDescription	"Three reporters from the school paper get transported back to the Edo period.
"
animeRelated	['Sore Ike! Zukkoke Sannin-gumi', 'Zukkoke Sannin-gumi no Hi Asobi Boushi Daisakusen', 'Zukkoke Sannin-gumi no Jitensha Kyoushitsu', 'Zukkoke Sannin-gumi no Bousai Kyoushitsu', 'Zukkoke Sannin-gumi no Koutsuu Anzen']
animeCharacters	['Yamanaka, Shotaro', 'Okuda, Miyoshi', 'Hachiya, Ryouhei']
animeVoices	['Hibino, Akari', 'Sakurai, Toshiharu', 'Sakamoto, Chika']
animeStaff	[['Ueda, Hidehito', 'Director'], ['Koyama, Takao', 'Screenplay'], ['Yamamoto, Masayuki', 'Music'], ['Takeichi, Masahisa', 'Music']]
