animeTitle	Senjuushi
animeType	TV
animeNumEpisode	12
releaseDate	2018-07-03 00:00:00
endDate	2018-09-25 00:00:00
animeNumMembers	12310
animeScore	4.9
animeUsers	1860
animeRank	11571
animePopularity	4890
animeDescription	"Despair War is a battle between ancient guns and contemporary guns. Due to a nuclear war, the world was destroyed. Under the full governance of a world empire, people are living with their freedom taken. Despite the forbidden rule of owning any weapons, there is a resistance that secretly fights against the world empire. They own ancient guns left as art and fight using these. Then, the Kijuushi appear as the souls of the ancient guns. Proud and magnificent, the ""Absolute Royal"" are the only ones that can give hope to this world. The story depicts the everyday life of the Kijuushi. Laughter, despair, happiness, confusion, pain; they would still pursue their own absolute loyalty to fight. What do they fight for? What should they protect?

(Source: MAL News)"
animeRelated	['Senjuushi: Gendaijuu no Heya', 'Senjuushi: Kijuushi-tachi no Happy Birthday!']
animeCharacters	['Bess, Brown', 'Dreyse', 'Ieyasu', 'Springfield', 'Charleville', 'Kentucky', 'Napoleon', 'Tabatiere', 'Yukimura', 'Nicola']
animeVoices	['Yashiro, Taku', 'Satou, Takuya', 'Maeno, Tomoaki', 'Aoi, Shouta', 'Tachibana, Shinnosuke', 'Kaji, Yuki', 'Namikawa, Daisuke', 'Takahashi, Hiroki', 'Nakajima, Yoshiki', 'Murase, Ayumu']
animeStaff	[['Kasai, Kenichi', 'Director'], ['Kaji, Yuki', 'Theme Song Performance, Inserted Song Performance'], ['Aoi, Shouta', 'Theme Song Performance, Inserted Song Performance'], ['Tachibana, Shinnosuke', 'Theme Song Performance, Inserted Song Performance']]
