animeTitle	Sekai de Ichiban Tsuyoku Naritai! Specials
animeType	Special
animeNumEpisode	6
releaseDate	2013-12-12 00:00:00
endDate	2014-05-12 00:00:00
animeNumMembers	
animeScore	5.72
animeUsers	2762
animeRank	
animePopularity	6101
animeDescription	"Short specials included on the BD/DVD volumes of ""Sekai de Ichiban Tsuyoku Naritai!"""
animeRelated	['Sekai de Ichiban Tsuyoku Naritai!']
animeCharacters	['Hagiwara, Sakura', 'Toyoda, Misaki', 'Kazama, Rio', 'Miyazawa, Elena', 'Toujou, Mariko', 'Sanada, Juri', 'Komiyama, Kurea', 'Suzumoto, Chinatsu', 'Hornet', 'Fukuoka, Moe']
animeVoices	['Taketatsu, Ayana', 'Narumi, Kyoko', 'Tomatsu, Haruka', 'Asumi, Kana', 'Takahashi, Chiaki', 'Hanazawa, Kana', 'Uesaka, Sumire', 'Mimori, Suzuko', 'Tokui, Sora', 'Kanemoto, Hisako']
animeStaff	[['Fukunaga, Gen', 'Executive Producer'], ['Natsuki, Kiyohito', 'Original Character Design'], ['ESE', 'Original Creator']]
