animeTitle	Gundam Build Fighters Specials
animeType	Special
animeNumEpisode	3
releaseDate	
endDate	
animeNumMembers	
animeScore	6.51
animeUsers	1664
animeRank	
animePopularity	7568
animeDescription	"Short specials included in the Blu-ray Box 1 & 2 of Gundam Build Fighters.

Episode 1: SD Kishi Fighters First Half 
Episode 2: SD Kishi Fighters Second Half
Episode 3: A Letter"
animeRelated	['Gundam Build Fighters']
animeCharacters	['Jyrkiäinen, Aila', 'Reiji', 'Iori, Sei', 'Kousaka, China', 'Fellini, Ricardo', 'Ral', 'Yasaka, Mao', 'Nielsen, Nils', 'Mihoshi']
animeVoices	['Hayami, Saori', 'Kokuryu, Sachi', 'Komatsu, Mikako', 'Ishikawa, Yui', 'Nakamura, Yuuichi', 'Hirose, Masashi', 'Fujii, Minami', 'Tachibana, Shinnosuke', 'Yuuki, Aoi']
animeStaff	[['Hayashi, Yuuki', 'Music']]
