animeTitle	Pro Golfer Saru: Kouga Hikyou! Kage no Ninpou Golfer Sanjou!
animeType	Movie
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	15907
animeDescription	No synopsis information has been added to this title. Help improve our database by adding a synopsis here.
animeRelated	['Pro Golfer Saru (TV)']
animeCharacters	['Sarutani, Sarumaru']
animeVoices	['Tonguu, Kyouko']
animeStaff	[['Nishimura, Junji', 'Director'], ['Fujiko, Fujio (A)', 'Original Creator'], ['Motohashi, Hideyuki', 'Animation Director'], ['Okayasu, Hajime', 'Editing']]
