animeTitle	b'Mousou Dairinin'
animeType	b'TV'
animeNumEpisode	13
releaseDate	
endDate	
animeNumMembers	
animeScore	7.68
animeUsers	127726
animeRank	
animePopularity	
animeDescription	"b""The infamous Shounen Bat (Lil' Slugger) is terrorizing the residents of Musashino City. Flying around on his rollerblades and beating people down with a golden baseball bat, the assailant seems impossible to catch\xe2\x80\x94much less understand. His first victim, the well-known yet timid character designer Tsukiko Sagi, is suspected of orchestrating the attacks. Believed only by her anthropomorphic pink stuffed animal, Maromi, Tsukiko is just one of Shounen Bat's many victims.\n\nAs Shounen Bat continues his relentless assault on the town, detectives Keiichi Ikari and Mitsuhiro Maniwa begin to investigate the identity of the attacker. However, more and more people fall victim to the notorious golden bat, and news of the assailant begins circulating around the town. Paranoia starts to set in as chilling rumors spread amongst adults and children alike.\n\nWill the two detectives be able to unravel the truth behind Shounen Bat, or will the paranoia get to them first?\n\n[Written by MAL Rewrite]"""
animeRelated	[]
animeCharacters	[b'Shounen Bat', b'Sagi, Tsukiko', b'Maniwa, Mitsuhiro', b'Ikari, Keiichi', b'Maromi', b'Chono, Harumi', b'Old Man', b'Ikari, Misae', b'Kamome', b'Taira, Yuichi']
animeVoices	[b'\nSakaguchi, Daisuke\nJapanese\n', b'\nNoto, Mamiko\nJapanese\n', b'\nSeki, Toshihiko\nJapanese\n', b'\nIizuka, Shouzou\nJapanese\n', b'\nMomoi, Haruko\nJapanese\n', b'\nMitsuishi, Kotono\nJapanese\n', b'\nSaikachi, Ryuuji\nJapanese\n', b'\nKomiya, Kazue\nJapanese\n', b'\nTominaga, Miina\nJapanese\n', b'\nYamaguchi, Mayumi\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nKon, Satoshi\n\nDirector, Storyboard, Original Creator\n\n', b'\nMima, Masafumi\n\nSound Director\n\n', b'\nHamasaki, Hiroshi\n\nEpisode Director, Storyboard, Key Animation, Animation Director\n\n', b'\nHirao, Takayuki\n\nEpisode Director\n\n']
