animeTitle	b'Minami Kamakura Koukou Joshi Jitenshabu'
animeType	b'TV'
animeNumEpisode	12
releaseDate	
endDate	
animeNumMembers	
animeScore	6.28
animeUsers	5933
animeRank	
animePopularity	
animeDescription	b'Maiharu Hiromi has moved to Kamakura Nagasaki, and rides a bicycle to school everyday. Then she meets Akizuki Tomoe, the leader of the girls cycling club. She therefore joins the club and her life gradually begins to change.'
animeRelated	[b'Minami Kamakura Koukou Joshi Jitensha-bu', b'Minami Kamakura Koukou Joshi Jitenshabu: Kita yo, Taiwan!']
animeCharacters	[b'Maiharu, Hiromi', b'Kamikura, Fuyune', b'Akizuki, Tomoe', b'Higa, Natsumi', b'McDougal, Sandy', b'Mori, Nagisa', b'Akizuki, Yuika', b'Hououji, Korone', b'Mori, Shiki']
animeVoices	[b'\nUeda, Reina\nJapanese\n', b'\nTakamori, Natsumi\nJapanese\n', b'\nHirose, Yuuki\nJapanese\n', b'\nFujiwara, Natsumi\nJapanese\n', b'\nTakeuchi, Emiko\nJapanese\n', b'\nKitou, Akari\nJapanese\n', b'\nFukuo, Yui\nJapanese\n', b'\nKubo, Yurika\nJapanese\n', b'\nWatabe, Sayumi\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nKudou, Susumu\n\nDirector\n\n', b'\nWatanabe, Jun\n\nSound Director\n\n', b'\nNagai, Shinpei\n\nEpisode Director\n\n', b'\nSunayama, Kurasumi\n\nScript\n\n']
