animeTitle	Maken-Ki! Two
animeType	TV
animeNumEpisode	10
releaseDate	2014-01-16 00:00:00
endDate	2014-03-20 00:00:00
animeNumMembers	
animeScore	6.16
animeUsers	59262
animeRank	
animePopularity	1322
animeDescription	"Takeru continues his education at Tenbi Academy as part of the newly formed Security Committee. As a team with the other members, they battle unscrupulous individuals who use their Maken for evil purposes. In the meantime, his libido and the conflicting romantic interests of the girls surrounding him complicate matters considerably.

(Source: ANN)
"
animeRelated	['Maken-Ki!', 'Maken-Ki! OVA', 'Maken-Ki! Two Specials']
animeCharacters	['Himegami, Kodama', 'Amaya, Haruko', 'Kushiya, Inaho', 'Ooyama, Takeru', 'Nijou, Aki', 'Shinatsu, Azuki', 'Rokujou, Minori', 'Akaza, Chacha', 'Satou, Kimi', 'Usui, Kengo']
animeVoices	['Yahagi, Sayuri', 'Shitaya, Noriko', 'Nomizu, Iori', 'Maeno, Tomoaki', 'Harada, Hitomi', 'Togashi, Misuzu', 'Mina', 'Zougou, Saeko', 'Misato', 'Tsuruoka, Satoshi']
animeStaff	[['Kaneko, Hiraku', 'Director'], ['Hamano, Takatoshi', 'Sound Director'], ['Takami, Akio', 'Episode Director, Storyboard, Character Design, Key Animation, Chief Animation Director'], ['Takahashi, Hideya', 'Episode Director, Storyboard']]
