animeTitle	Mou Ippon!
animeType	Unknown
animeNumEpisode	Unknown
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	13183
animeDescription	"After performing in their final middle school judo tournament, Michi and Sanae begin high school and walk in on Michi's final opponent fighting to save their new high school's judo club. 

(Source: Akita Shoten, translated)"
animeRelated	['Mou Ippon!']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
