animeTitle	Cele Kano
animeType	OVA
animeNumEpisode	2
releaseDate	2012-04-20 00:00:00
endDate	2012-07-20 00:00:00
animeNumMembers	4209
animeScore	6.33
animeUsers	1571
animeRank	
animePopularity	7500
animeDescription	"During summer holidays, Katsuragi reports to the Tsubaratera household to work as a butler in accordance to his grandfather's will. There, he meets the spoiled and willful Tsubaratera Kotoha.

(Source: translated and adapted from official site by Cranston)"
animeRelated	['Cele♥Kano']
animeCharacters	['Tsuburadera, Kotoha', 'Katsuragi, Ryuunosuke', 'Kurimina, Main']
animeVoices	[]
animeStaff	[['Igarashi, Denma', 'Original Creator']]
