animeTitle	Coluboccoro
animeType	OVA
animeNumEpisode	1
releaseDate	2007-01-01 00:00:00
endDate	
animeNumMembers	
animeScore	5.6
animeUsers	910
animeRank	
animePopularity	9479
animeDescription	"A sci-fi, eco-conscious fantasy about a 14-year-old heroine, Suzu, a descendant of a distinguished shaman who saved people from catastrophe in the past. Suzu sets out on a journey, along with the spirit of nature, Coluboccoro, to regain peace and nature to the ruined villages.　

(Source: anime-innovation.jp)"
animeRelated	[]
animeCharacters	['Suzu', 'Coluboccoro']
animeVoices	['Katou, Emiri']
animeStaff	[['Itoso, Kenji', 'Producer, Director, Screenplay, Planning, Original Creator']]
