animeTitle	b'Genshiken OVA'
animeType	b'OVA'
animeNumEpisode	3
releaseDate	
endDate	
animeNumMembers	
animeScore	7.65
animeUsers	27805
animeRank	
animePopularity	
animeDescription	"b'It\'s the start of a new year for the Genshiken crew, and that means recruiting new members. Always a dreaded task, The Society for the Study of Modern Visual Culture manages to get Chika Ogiue pushed onto them from the Manga Club. With her introduction of ""I\'m Ogiue and I hate otaku,"" this year certainly will be anything but boring.\n\n(Source: ANN)'"
animeRelated	[b'Genshiken', b'Genshiken 2']
animeCharacters	[b'Madarame, Harunobu', b'Ogiue, Chika', b'Kasukabe, Saki', b'Sasahara, Kanji', b'Kousaka, Makoto', b'Oono, Kanako', b'Tanaka, Souichiro', b'Shodai Kaichou', b'Kuchiki, Manabu', b'Kugayama, Mitsunori']
animeVoices	[b'\nHiyama, Nobuyuki\nJapanese\n', b'\nMizuhashi, Kaori\nJapanese\n', b'\nYukino, Satsuki\nJapanese\n', b'\nOoyama, Takanori\nJapanese\n', b'\nSaiga, Mitsuki\nJapanese\n', b'\nKawasumi, Ayako\nJapanese\n', b'\nSeki, Tomokazu\nJapanese\n', b'\nIshida, Akira\nJapanese\n', b'\nNomura, Kenji\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nMizushima, Tsutomu\n\nDirector\n\n', b'\nAketagawa, Jin\n\nSound Director\n\n', b'\nmanzo\n\nTheme Song Lyrics, Theme Song Performance, Theme Song Composition, Theme Song Arrangement\n\n', b'\nYokote, Michiko\n\nScreenplay, Series Composition\n\n']
