animeTitle	Haikyuu!! Movie 3: Sainou to Sense
animeType	Movie
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	8.09
animeUsers	20433
animeRank	
animePopularity	2334
animeDescription	"Recap film that will cover the match against Aobajosai High School that took place in the second season.

(Source: MAL News)"
animeRelated	['Haikyuu!!', 'Haikyuu!! Second Season', 'Haikyuu!! Movie 2: Shousha to Haisha', 'Haikyuu!! Movie 4: Concept no Tatakai']
animeCharacters	['Hinata, Shouyou', 'Kageyama, Tobio', 'Iwaizumi, Hajime', 'Nishinoya, Yuu', 'Tsukishima, Kei', 'Sugawara, Koushi', 'Tanaka, Ryuunosuke', 'Yamaguchi, Tadashi', 'Azumane, Asahi', 'Sawamura, Daichi']
animeVoices	[]
animeStaff	[['Morihiro, Fumi', 'Producer'], ['Matsushita, Keiko', 'Producer'], ['SPYAIR', 'Theme Song Performance'], ['Furudate, Haruichi', 'Original Creator']]
