animeTitle	b'DT Eightron'
animeType	b'TV'
animeNumEpisode	26
releaseDate	
endDate	
animeNumMembers	
animeScore	6.32
animeUsers	448
animeRank	
animePopularity	
animeDescription	b'Shu is from Datania, a country that makes young children work. He and his friends were trying to escape when they met the Returners. The Returners are some kind of rebels to Datania. Shu goes with the Returners to fight Zero, Nines, and his men who are after DT, a special substance inside humans.\n\n(Source: ANN)'
animeRelated	[b'DT Eightron']
animeCharacters	[b'May', b'Rosso', b'Ein', b'Fear', b'Dolly', b'Nines', b'Shu', b'Erisu', b'Ryou', b'Berk']
animeVoices	[b'\nNatsuki, Rio\nJapanese\n', b'\nCanna, Nobutoshi\nJapanese\n', b'\nSuwabe, Junichi\nJapanese\n', b'\nKawasumi, Ayako\nJapanese\n', b'\nYajima, Akiko\nJapanese\n', b'\nTsujitani, Kouji\nJapanese\n', b'\nHoshi, Souichirou\nJapanese\n', b'\nNakamura, Chie\nJapanese\n', b'\nKamiya, Hiroshi\nJapanese\n', b'\nYusa, Kouji\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nAmino, Tetsuro\n\nDirector\n\n', b'\nHata, Masami\n\nDirector\n\n', b'\nTsuruoka, Youta\n\nSound Director\n\n', b'\nHanyuu, Naoyasu\n\nEpisode Director\n\n']
