animeTitle	Air in Summer
animeType	Special
animeNumEpisode	2
releaseDate	2005-08-28 00:00:00
endDate	2005-09-04 00:00:00
animeNumMembers	
animeScore	7.32
animeUsers	22736
animeRank	
animePopularity	2883
animeDescription	An extension of the summer-arc in the Air TV-series, showing more of what happened during Kanna's, Ryuya's and Uraha's journey to find Kanna's mother.
animeRelated	['Air']
animeCharacters	['Kanna', 'Ryuuya', 'Uraha']
animeVoices	['Nishimura, Chinami', 'Canna, Nobutoshi', 'Inoue, Kikuko']
animeStaff	[['Hatta, Youko', 'Producer'], ['Ishihara, Tatsuya', 'Director, Episode Director, Storyboard'], ['Tsuruoka, Youta', 'Sound Director'], ['Lia', 'Theme Song Performance']]
