animeTitle	Dalam-iwa Goseumdochi
animeType	TV
animeNumEpisode	32
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	12881
animeDescription	"Squirrel and Hedgehog documents various animal communities warring and in conflict against one another, each animal being a symbolic representation of real life countries and sometimes political events.

A North Korean propaganda anime that was developed and produced in North Korea to be aired on state television."
animeRelated	[]
animeCharacters	['Geumsaegi']
animeVoices	[]
animeStaff	[]
