animeTitle	Super Doll Licca-chan
animeType	TV
animeNumEpisode	52
releaseDate	1998-10-06 00:00:00
endDate	1999-09-28 00:00:00
animeNumMembers	
animeScore	6.55
animeUsers	1066
animeRank	
animePopularity	8047
animeDescription	"Licca is in grave danger once she finds out that she is the princess of the Doll Kingdom. Now, the evil Dr. Scarecrow is after her and her throne. So Licca's grandmother gives her a set of dolls. When needed, the dolls will transform into larger versions known as the Doll Knights. Together, they will protect Licca.

(Source: AnimeNfo)"
animeRelated	['Licca-chan Fushigi na Mahou no Ring', 'Licca-chan to Yamaneko Hoshi no Tabi', 'Super Doll Licca-chan: Licca-chan Zettai Zetsumei! Doll Knights no Kiseki']
animeCharacters	['Doll Licca', 'Kayama, Licca', 'Michitani, Tomonori', 'Shinohara, Sumire', 'Takabayashi, Dai', 'Makiyama, Rui', 'Puru', 'Waya', 'Misty', 'Devaul']
animeVoices	['Sakurai, Tomo', 'Kouno, Yuka', 'Mizuta, Wasabi', 'Kawakami, Miyuu', 'Mita, Yuuko', 'Miyamoto, Mitsuru', 'Tanaka, Atsuko', 'Hayashiya, Shouzou', 'Hiramatsu, Akiko', 'Takemoto, Eiji']
animeStaff	[['Sugii, Gisaburou', 'Director, Episode Director, Storyboard'], ['Fujiyama, Fusanobu', 'Sound Director'], ['Tsuchiya, Hiroyuki', 'Episode Director'], ['Egami, Kiyoshi', 'Episode Director, Storyboard']]
