animeTitle	b'Kill la Kill'
animeType	b'TV'
animeNumEpisode	24
releaseDate	
endDate	
animeNumMembers	
animeScore	8.06
animeUsers	773884
animeRank	
animePopularity	
animeDescription	"b'After the murder of her father, Ryuuko Matoi has been wandering the land in search of his killer. Following her only lead\xe2\x80\x94the missing half of his invention, the Scissor Blade\xe2\x80\x94she arrives at the prestigious Honnouji Academy, a high school unlike any other. The academy is ruled by the imposing and cold-hearted student council president Satsuki Kiryuuin alongside her powerful underlings, the Elite Four. In the school\'s brutally competitive hierarchy, Satsuki bestows upon those at the top special clothes called ""Goku Uniforms,"" which grant the wearer unique superhuman abilities. \n\nThoroughly beaten in a fight against one of the students in uniform, Ryuuko retreats to her razed home where she stumbles across Senketsu, a rare and sentient ""Kamui,"" or God Clothes. After coming into contact with Ryuuko\'s blood, Senketsu awakens, latching onto her and providing her with immense power. Now, armed with Senketsu and the Scissor Blade, Ryuuko makes a stand against the Elite Four, hoping to reach Satsuki and uncover the culprit behind her father\'s murder once and for all. \n\n[Written by MAL Rewrite]'"
animeRelated	[b'Kill la Kill', b'Kill la Kill Specials', b'Uchuu Patrol Luluco']
animeCharacters	[b'Matoi, Ryuuko', b'Kiryuuin, Satsuki', b'Mankanshoku, Mako', b'Senketsu', b'Jakuzure, Nonon', b'Harime, Nui', b'Gamagoori, Ira', b'Mikisugi, Aikurou', b'Sanageyama, Uzu', b'Kiryuuin, Ragyou']
animeVoices	[b'\nKoshimizu, Ami\nJapanese\n', b'\nYuzuki, Ryouka\nJapanese\n', b'\nSuzaki, Aya\nJapanese\n', b'\nSeki, Toshihiko\nJapanese\n', b'\nShintani, Mayumi\nJapanese\n', b'\nTamura, Yukari\nJapanese\n', b'\nInada, Tetsu\nJapanese\n', b'\nMiki, Shinichiro\nJapanese\n', b'\nHiyama, Nobuyuki\nJapanese\n', b'\nPark, Romi\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nAmemiya, Akira\n\nCo-Director, Episode Director, Storyboard, Assistant Director, Assistant Animation Director, Key Animation, Production Assistant, 2nd Key Animation\n\n', b'\nOotsuka, Masahiko\n\nProducer, Episode Director\n\n', b'\nKamagata, Eiichi\n\nProducer\n\n', b'\nToba, Yousuke\n\nProducer\n\n']
