animeTitle	Ninkuu: Knife no Bohyou
animeType	Special
animeNumEpisode	1
releaseDate	1994-10-01 00:00:00
endDate	
animeNumMembers	
animeScore	5.94
animeUsers	212
animeRank	
animePopularity	12153
animeDescription	"This was shown as part of the ""Jump Super Anime Tour"" of October 1994, prior to the Ninku TV series."
animeRelated	['Ninku', 'Ninkuu']
animeCharacters	['Fuusuke', 'Rihoko', 'Hiroyuki', 'Aicho', 'Touji']
animeVoices	['Matsumoto, Rica']
animeStaff	[['Abe, Noriyuki', 'Director'], ['Mizuno, Kazunori', 'Episode Director'], ['Nishio, Tetsuya', 'Animation Director, Character Design'], ['Kiriyama, Kouji', 'Original Creator']]
