animeTitle	b'Nendo no Tatakai'
animeType	b'ONA'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	3.26
animeUsers	1811
animeRank	
animePopularity	
animeDescription	b'The red clayman is bored... and apparently, he has nothing better to do than bother the yellow clayman.'
animeRelated	[b'Nendo no Tatakai 2', b'Nendo no Tatakai (2019)']
animeCharacters	[b'Red Clayman', b'Yellow Clayman']
animeVoices	[]
animeStaff	[b'\n\n\n\n\n\n', b'\nTakena, Nagao\n\nDirector\n\n']
