animeTitle	Katekyo Hitman Reborn!: Mr. Rebokku no Ciao Ciao Interview
animeType	Special
animeNumEpisode	3
releaseDate	2010-04-07 00:00:00
endDate	2010-06-02 00:00:00
animeNumMembers	
animeScore	7.37
animeUsers	6971
animeRank	
animePopularity	4379
animeDescription	"KHR: Mr. Rebokku no Ciao Ciao Interview is set of 3 DVD specials in which, Reborn, dressed as host interviews various characters selected by a wheel.

Episode #1
Features Reborn as Host, and Tsunayoshi, Gokudera and Xanxus as guests.

Episode #2
Features Reborn as Host, and Hibari, Belphegor and Dino as guests.

Episode #3
Features Reborn as Host, and, differently than before, four characters which are Byakuran, Mukuro, Squalo and Yamamoto.

[Written by Katekyo Hitman Reborn! FC] "
animeRelated	['Katekyo Hitman Reborn!']
animeCharacters	['Reborn', 'Sawada, Tsunayoshi', 'Hibari, Kyouya', 'Gokudera, Hayato', 'Yamamoto, Takeshi', 'Rokudou, Mukuro', 'Belphegor', 'Squalo, Superbi', 'Xanxus', 'Byakuran']
animeVoices	['Neeko', 'Kokubun, Yukari', 'Kondou, Takashi', 'Ichinose, Hidekazu', 'Inoue, Suguru', 'Iida, Toshinobu', 'Fujiwara, Yuuki', 'Takahashi, Hiroki', 'Ikeda, Masanori', 'Ooyama, Takanori']
animeStaff	[]
