animeTitle	b'Jagainu-kun'
animeType	b'TV'
animeNumEpisode	26
releaseDate	
endDate	
animeNumMembers	
animeScore	6.44
animeUsers	547
animeRank	
animePopularity	
animeDescription	b'Known in Japan as Jagainu-kun, Dogtato is the heartwarming tale of a dog that`s really a potato...or a potato that`s really a dog. Or something. (Jagaimo = potato, inu = dog, thus the name Jagainu/Dogtato.) Dogtato`s world is full of his lovable half-veggie, half-animal friends who are always getting into wacky hijinks and misadventures.\n\n(Source: AniDB)'
animeRelated	[]
animeCharacters	[b'Haripoteto', b'Jagainu']
animeVoices	[b'\nKobayashi, Sanae\nJapanese\n', b'\nAdachi, Shinobu\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nKagawa, Yutaka\n\nDirector\n\n', b'\nItou, Ikuko\n\nCharacter Design\n\n']
