animeTitle	Rilakkuma to Kaoru-san
animeType	ONA
animeNumEpisode	13
releaseDate	
endDate	
animeNumMembers	
animeScore	7.65
animeUsers	6220
animeRank	
animePopularity	4959
animeDescription	"Her life might be a little mundane, but Kaoru gets to go home to Rilakkuma, her endearingly lazy roommate who happens to be a fuzzy toy bear.

(Source: Netflix)"
animeRelated	['Rilakkuma to Yuuenchi']
animeCharacters	['Rilakkuma', 'Korilakkuma', 'Kiiroitori', 'Kaoru', 'Sayu']
animeVoices	['Tabe, Mikako']
animeStaff	[['Kobayashi, Masahito', 'Director'], ['Ogawa, Iku', 'Assistant Director, Character Design']]
