animeTitle	Ao no Exorcist: Kuro no Iede
animeType	Special
animeNumEpisode	1
releaseDate	2011-10-26 00:00:00
endDate	
animeNumMembers	
animeScore	7.3
animeUsers	60204
animeRank	
animePopularity	1401
animeDescription	Feeling slighted by Rin, Kuro goes on the hunt for a new master, but can he find anyone who can truly replace Rin?
animeRelated	['Ao no Exorcist']
animeCharacters	['Kuro', 'Okumura, Rin', 'Pheles, Mephisto', 'Okumura, Yukio', 'Amaimon', 'Kirigakure, Shura', 'Fujimoto, Shirou', 'Moriyama, Shiemi', 'Suguro, Ryuuji', 'Shima, Renzou']
animeVoices	['Takagaki, Ayahi', 'Okamoto, Nobuhiko', 'Kamiya, Hiroshi', 'Fukuyama, Jun', 'Kakihara, Tetsuya', 'Satou, Rina', 'Fujiwara, Keiji', 'Hanazawa, Kana', 'Nakai, Kazuya', 'Yusa, Kouji']
animeStaff	[['Kamakura, Yumi', 'Storyboard'], ['UVERworld', 'Theme Song Arrangement, Theme Song Performance, Theme Song Lyrics, Theme Song Composition'], ['2PM', 'Theme Song Performance'], ['Sawano, Hiroyuki', 'Music']]
