animeTitle	b'Jigoku Shoujo Futakomori'
animeType	b'TV'
animeNumEpisode	26
releaseDate	
endDate	
animeNumMembers	
animeScore	7.91
animeUsers	59705
animeRank	
animePopularity	
animeDescription	"b'Ai Enma and her companions continue to offer their service of revenge against those who have wronged others, and the price is as steep as ever\xe2\x80\x94for damning the offender to hell, the person exacting vengeance is sent to the abyss as well. As they cast soul after soul into the darkness, a new sinister force is watching them: a little girl named Kikuri.\n\nWhile Ai continues her duties, she meets a boy named Takuma Kurebayashi, known as the ""Devil\'s Child"" because of the horrific events that occur around him. Unfortunately, Takuma\'s reputation leads the townspeople to use him as a scapegoat for those who have been ferried off to hell. When things quickly spiral out of control, Ai must find a way to bring an end to this senseless violence, as it poses a threat to her very existence.\n\n[Written by MAL Rewrite]'"
animeRelated	[b'Jigoku Shoujo', b'Jigoku Shoujo Mitsuganae']
animeCharacters	[b'Enma, Ai', b'Ichimoku, Ren', b'Hone Onna', b'Kikuri', b'Wanyuudou', b'Shibata, Tsugumi', b'Shibata, Hajime', b'Kurebayashi, Takuma', b'Hanamura, Yumie', b'Suzaki, Maho']
animeVoices	[b'\nNoto, Mamiko\nJapanese\n', b'\nMatsukaze, Masaya\nJapanese\n', b'\nHonda, Takako\nJapanese\n', b'\nSakai, Kanako\nJapanese\n', b'\nSugou, Takayuki\nJapanese\n', b'\nMizuki, Nana\nJapanese\n', b'\nUeda, Yuuji\nJapanese\n', b'\nFujimura, Ayumi\nJapanese\n', b'\nMorinaga, Rika\nJapanese\n', b'\nKanda, Akemi\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nOomori, Takahiro\n\nDirector, Episode Director, Storyboard\n\n', b'\nJinbo, Masato\n\nEpisode Director\n\n', b'\nYoshida, Shunji\n\nEpisode Director\n\n', b'\nNakano, Hideaki\n\nEpisode Director\n\n']
