animeTitle	Yume no Hoshi no Button Nose
animeType	TV
animeNumEpisode	26
releaseDate	1985-10-19 00:00:00
endDate	1986-04-26 00:00:00
animeNumMembers	
animeScore	6.38
animeUsers	275
animeRank	
animePopularity	11958
animeDescription	Although Trish is her real name, everyone calls her Button Nose because of her button nose. Always happy and nice, she is always shown with strawberries because she's famous for her homemade strawberry jam.
animeRelated	[]
animeCharacters	['Rudy', 'Flower Ouji', 'Button Nose', 'Cook-chou', 'Pierce', 'Franklin', 'Clip', 'Jijouchou', 'Fastener Hakushaku', 'Scooter']
animeVoices	['Adachi, Shinobu', 'Miyuki, Sanae', 'Yanami, Jouji']
animeStaff	[['Yamada, Etsuji', 'Sound Director'], ['Hata, Masami', 'Episode Director, Storyboard, Chief Animation Director'], ['Takeuchi, Yoshio', 'Episode Director, Storyboard'], ['Yamada, Katsuhisa', 'Episode Director, Storyboard']]
