animeTitle	Shinsei Kamattechan
animeType	Music
animeNumEpisode	1
releaseDate	2011-08-26 00:00:00
endDate	
animeNumMembers	554
animeScore	4.53
animeUsers	284
animeRank	11835
animePopularity	12696
animeDescription	"An old cleaner goes on a cleaning rampage in the sewers of a futuristic city, after he lost his job to a robot.

Music Video for the song by Shinsei Kamattechan of the same name and seventh part of GAINAX' ""Music is SF"" series."
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
