animeTitle	Cocktail Prince: Making Love!!
animeType	Music
animeNumEpisode	1
releaseDate	2016-07-21 00:00:00
endDate	
animeNumMembers	771
animeScore	5.7
animeUsers	293
animeRank	9733
animePopularity	11820
animeDescription	An animated music video of the song Making Love!!. The Cocktail Prince mobile game reimagines various alcoholic beverages as human males.
animeRelated	['Cocktail Prince: Shaking Night!!']
animeCharacters	['Emerald Mist', 'Salty Dog', 'Moulin Rouge', 'Martini', 'Tequila Sunrise', 'Tom Collins']
animeVoices	['Furukawa, Makoto', 'Enoki, Junya', 'Suwabe, Junichi', 'Eguchi, Takuya', 'Shimazaki, Nobunaga', 'Kondou, Takashi']
animeStaff	[]
